seed_id,target,program_structure,concrete_opcode_or_interaction,instruction_family,input,native_verify_accept,executed_steps,register_writebacks,static_writeback_sites,main_symbol_range,opcode_census,guest_source,guest_elf
op_sltu,ceno,Single operation,SLTU,base-ALU,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
op_sra,ceno,Single operation,SRA,base-ALU,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
op_srl,ceno,Single operation,SRL,base-ALU,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
op_sub,ceno,Single operation,SUB,base-ALU,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
op_xor,ceno,Single operation,XOR,base-ALU,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
ADD_single_op,risc0,Single operation,ADD,base-ALU,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
AND_single_op,risc0,Single operation,AND,base-ALU,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
DIVU_single_op,risc0,Single operation,DIVU,M-extension,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
DIV_single_op,risc0,Single operation,DIV,M-extension,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
MULHSU_single_op,risc0,Single operation,MULHSU,M-extension,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
MULHU_single_op,risc0,Single operation,MULHU,M-extension,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
MULH_single_op,risc0,Single operation,MULH,M-extension,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
MUL_single_op,risc0,Single operation,MUL,M-extension,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
OR_single_op,risc0,Single operation,OR,base-ALU,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
REMU_single_op,risc0,Single operation,REMU,M-extension,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
REM_single_op,risc0,Single operation,REM,M-extension,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
SLL_single_op,risc0,Single operation,SLL,base-ALU,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
SLTU_single_op,risc0,Single operation,SLTU,base-ALU,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
SLT_single_op,risc0,Single operation,SLT,base-ALU,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
SRA_single_op,risc0,Single operation,SRA,base-ALU,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
SRL_single_op,risc0,Single operation,SRL,base-ALU,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
SUB_single_op,risc0,Single operation,SUB,base-ALU,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
XOR_single_op,risc0,Single operation,XOR,base-ALU,"a=0x12345679, b=0x000000B7",true,11,11,11,NA (whole program is the seed),NA,<upstream>/risc0/risc0/circuit/rv32im/src/prove/lacuna_eval.rs::build_seed:153,NA (built in-process)
op_add,sp1,Single operation,ADD,base-ALU,"a=0x5A5, b=13 (RV64)",true,14,14,14,NA (whole program is the seed),NA,<upstream>/sp1/crates/prover/src/lacuna_eval.rs::build_op_program:93 / build_op_mem_program:132,NA (built in-process)
op_add_mem,sp1,Store--load,ADD,base-ALU,"a=0x5A5, b=13 (RV64)",true,17,10,10,NA (whole program is the seed),NA,<upstream>/sp1/crates/prover/src/lacuna_eval.rs::build_op_program:93 / build_op_mem_program:132,NA (built in-process)
op_addw,sp1,Single operation,ADDW,base-ALU,"a=0x5A5, b=13 (RV64)",true,14,14,14,NA (whole program is the seed),NA,<upstream>/sp1/crates/prover/src/lacuna_eval.rs::build_op_program:93 / build_op_mem_program:132,NA (built in-process)
op_and,sp1,Single operation,AND,base-ALU,"a=0x5A5, b=13 (RV64)",true,14,14,14,NA (whole program is the seed),NA,<upstream>/sp1/crates/prover/src/lacuna_eval.rs::build_op_program:93 / build_op_mem_program:132,NA (built in-process)
op_div,sp1,Single operation,DIV,M-extension,"a=0x5A5, b=13 (RV64)",true,14,14,14,NA (whole program is the seed),NA,<upstream>/sp1/crates/prover/src/lacuna_eval.rs::build_op_program:93 / build_op_mem_program:132,NA (built in-process)
op_divu,sp1,Single operation,DIVU,M-extension,"a=0x5A5, b=13 (RV64)",true,14,14,14,NA (whole program is the seed),NA,<upstream>/sp1/crates/prover/src/lacuna_eval.rs::build_op_program:93 / build_op_mem_program:132,NA (built in-process)
op_divuw,sp1,Single operation,DIVUW,M-extension,"a=0x5A5, b=13 (RV64)",true,14,14,14,NA (whole program is the seed),NA,<upstream>/sp1/crates/prover/src/lacuna_eval.rs::build_op_program:93 / build_op_mem_program:132,NA (built in-process)
op_divw,sp1,Single operation,DIVW,M-extension,"a=0x5A5, b=13 (RV64)",true,14,14,14,NA (whole program is the seed),NA,<upstream>/sp1/crates/prover/src/lacuna_eval.rs::build_op_program:93 / build_op_mem_program:132,NA (built in-process)
op_mul,sp1,Single operation,MUL,M-extension,"a=0x5A5, b=13 (RV64)",true,14,14,14,NA (whole program is the seed),NA,<upstream>/sp1/crates/prover/src/lacuna_eval.rs::build_op_program:93 / build_op_mem_program:132,NA (built in-process)
op_mulh,sp1,Single operation,MULH,M-extension,"a=0x5A5, b=13 (RV64)",true,14,14,14,NA (whole program is the seed),NA,<upstream>/sp1/crates/prover/src/lacuna_eval.rs::build_op_program:93 / build_op_mem_program:132,NA (built in-process)
op_mulhsu,sp1,Single operation,MULHSU,M-extension,"a=0x5A5, b=13 (RV64)",true,14,14,14,NA (whole program is the seed),NA,<upstream>/sp1/crates/prover/src/lacuna_eval.rs::build_op_program:93 / build_op_mem_program:132,NA (built in-process)
op_mulhu,sp1,Single operation,MULHU,M-extension,"a=0x5A5, b=13 (RV64)",true,14,14,14,NA (whole program is the seed),NA,<upstream>/sp1/crates/prover/src/lacuna_eval.rs::build_op_program:93 / build_op_mem_program:132,NA (built in-process)
op_mulw,sp1,Single operation,MULW,M-extension,"a=0x5A5, b=13 (RV64)",true,14,14,14,NA (whole program is the seed),NA,<upstream>/sp1/crates/prover/src/lacuna_eval.rs::build_op_program:93 / build_op_mem_program:132,NA (built in-process)
